iteration,test_acc,actions
236,0.901,"[[[0.00881222 0.        ]
  [0.         0.01552617]]]"
237,0.8999999999999999,"[[[0.00938529 0.        ]
  [0.         0.01504986]]]"
238,0.9005,"[[[0.0087144  0.        ]
  [0.         0.01676995]]]"
239,0.901,"[[[0.0089015  0.        ]
  [0.         0.01632749]]]"
240,0.8959999999999999,"[[[0.00890972 0.        ]
  [0.         0.01523076]]]"
241,0.9115,"[[[0.00923546 0.        ]
  [0.         0.0162268 ]]]"
242,0.895,"[[[0.00892769 0.        ]
  [0.         0.01509475]]]"
243,0.873,"[[[0.00888107 0.        ]
  [0.         0.01736527]]]"
244,0.887,"[[[0.00947185 0.        ]
  [0.         0.02016822]]]"
245,0.909,"[[[0.00895819 0.        ]
  [0.         0.01798538]]]"
246,0.9019999999999999,"[[[0.00909709 0.        ]
  [0.         0.01492577]]]"
247,0.893,"[[[0.00889544 0.        ]
  [0.         0.01565537]]]"
248,0.9055,"[[[0.00898218 0.        ]
  [0.         0.01689728]]]"
249,0.9079999999999999,"[[[0.00941106 0.        ]
  [0.         0.01508923]]]"
